sugar to flour ratio,sugar index,chill time,calories,density,pH,grams baking soda,bake time,quality,weight,crunch factor,raisins,nuts,chocolate,oats,butter melted or cubed
0.25,9.5,15.0,136.0,0.99367,8.1,0.44,12.1,8,15.2,1.3,1,0,0,0,0
0.23,3.3,34.0,113.0,0.99429,8.16,0.48,8.4,7,12.4,1.71,1,0,0,0,0
0.18,1.9,33.0,106.0,0.98746,8.21,0.83,14.0,9,9.4,1.78,0,1,1,0,0
0.18,10.5,41.0,124.0,0.9963,8.14,0.35,10.5,7,12.2,1.59,0,0,1,0,0
0.24,2.4,6.0,33.0,0.9974,8.09,0.57,9.4,5,19.8,1.3,0,1,1,1,1
0.22,18.15,23.0,139.0,0.9990399999999999,8.06,0.5,9.2,7,13.2,1.16,0,0,1,0,0
0.39,2.3,31.0,102.0,0.99221,8.22,0.58,10.9,9,13.2,1.93,0,0,1,0,0
0.39,2.6,30.0,180.0,0.9941,8.46,0.44,10.8,9,15.2,1.51,0,0,1,0,0
0.18,1.8,13.0,40.0,0.997,8.44,0.6,9.1,5,14.2,1.89,0,1,1,1,1
0.17,12.9,59.0,186.0,0.99754,8.08,0.49,9.4,7,13.8,1.18,0,1,1,0,0
0.49,9.6,45.0,197.0,0.9938,8.13,0.38,12.3,9,15.2,1.65,0,0,1,0,0
0.29,3.3,32.0,140.0,0.9895,8.17,0.36,12.8,9,12.6,1.2,0,0,1,0,0
0.25,7.5,18.0,117.0,0.99116,8.09,0.38,13.0,8,13.8,1.63,0,0,1,0,0
0.48,4.0,64.0,150.0,0.9945,8.06,0.4,10.494757774346976,7,12.8,1.05,0,0,1,1,0
0.58,16.75,43.0,163.0,0.9999,8.15,0.54,9.2,7,15.2,1.79,1,0,0,0,0
0.34,3.4,34.0,200.0,0.9937,8.14,0.76,10.0,7,13.0,1.29,1,0,0,0,0
0.34,7.6,25.0,118.0,0.9922200000000001,8.03,0.37,11.0,8,12.0,1.94,0,1,1,0,0
0.33,7.0,14.0,130.0,0.9918,8.25,0.45,12.5,9,15.2,1.97,0,1,1,0,0
0.35,1.2,36.0,140.0,0.9913799999999999,8.09,0.45,11.2,7,15.6,1.15,0,0,1,0,0
0.39,1.0,14.0,71.0,0.9891200000000001,8.31,0.38,13.0,9,13.4,1.55,0,0,1,1,0
0.29,2.6,31.0,119.0,0.9980100000000001,8.15,0.5,9.1,5,16.8,1.71,1,1,0,0,1
0.29,1.6,48.0,185.0,0.9934,8.21,0.5,9.4,7,12.6,1.78,0,0,1,0,0
0.31,14.5,39.0,193.0,0.9986,8.1,0.5,9.2,8,14.8,1.99,0,0,1,1,0
0.32,2.5,23.0,218.5,0.9935,8.27,0.6,9.8,7,12.2,1.73,0,0,1,0,0
0.32,2.4,35.0,103.0,0.9911,8.28,0.46,12.0,10,13.6,1.68,1,0,0,0,0
0.4,2.7,6.0,11.0,0.9953799999999999,8.44,0.54,12.2,6,15.2,1.82,0,1,1,0,1
0.49,9.0,31.0,185.0,0.998,8.34,0.49,10.0,8,16.0,1.77,0,0,1,0,0
0.23,2.5,16.0,70.0,0.9935200000000001,8.46,0.65,12.5,6,12.2,1.36,1,1,0,0,1
0.27,4.6,22.0,104.0,0.9949,8.34,0.44,9.0,7,11.0,1.62,0,0,1,1,0
0.44,1.9,9.0,22.0,0.99708,8.28,0.55,9.5,5,18.6,1.14,0,1,1,0,1
0.36,13.2,53.0,178.0,0.9976,8.01,0.48,9.0,8,14.8,1.13,0,0,1,0,0
0.31,17.3,32.0,197.0,1.0002,8.13,0.46,9.0,8,14.6,1.04,0,0,1,1,0
